的	u	10359470
一	f	4346343
是	o	3240478
不	c	3217018
了	r	3211043
在	n	2565479
我	t	2302420
人	j	2289348
大	m	1442576
中	d	1344335
来	a	1313926
和	x	1215893
说	s	1214559
为	i	1195466
到	y	1172915
就	g	1135253
也	e	1093918
要	v	991671
可	z	952249
道	h	911043
而	l	824737
得	w	796166
能	k	781343
都	q	651479
如	b	613530
行	p	586170
丁	ad	36622
丰	af	27512
鬼	ag	47461
乙	ai	10381
六	al	106163
门	am	262849
片	ap	114950
舌	as	9935
未	aw	149329
弓	bg	10893
卵	bl	7690
面	bm	486460
女	bn	257478
云	by	87345
不	cb	3217018
虫	cc	21718
飞	cf	174376
古	cg	102370
火	ch	134676
支	ci	120659
及	cj	220421
尸	cs	23528
业	cy	300091
口	dk	235245
里	dl	650836
民	dm	351658
无	du	506335
由	dy	331104
干	eg	152581
见	ej	372922
木	em	70322
欠	eq	10617
穴	ex	10131
也	ey	1093918
辰	fc	7089
一	fi	4346343
且	fq	153702
示	fs	103610
亡	fw	37610
歹	gd	3344
高	gg	386688
句	gj	73861
士	gs	138835
土	gt	93942
韦	gw	16422
羊	gy	21942
八	hb	115202
夫	hf	133197
谷	hg	37829
子	hi	689849
心	hx	546749
册	ic	14968
立	il	252826
舟	io	7098
予	iv	37799
斗	jd	80254
仑	jl	6269
人	jr	2289348
入	ju	225933
寸	kc	11449
九	kj	115812
母	km	86170
水	ks	240065
齿	lc	10569
而	le	824737
方	lf	561645
千	lq	90796
生	ls	747328
夕	lx	8907
牙	ly	36473
巴	mb	84397
大	md	1442576
二	me	338300
光	mg	186962
户	mh	48708
两	ml	451455
犬	mq	4488
石	ms	137428
黄	nh	106583
马	nm	214937
十	ns	411320
王	nw	236377
辛	nx	21456
贝	ob	28882
川	oc	29131
自	oi	849269
几	oj	289446
日	or	424541
矢	os	4190
尤	oy	35133
长	pc	420864
刀	pd	56776
儿	pe	263280
戈	pg	12488
黑	ph	121677
米	pm	79644
鼠	ps	12182
足	pu	93382
行	px	586170
走	pz	284217
臣	qc	38055
耳	qe	51551
井	qj	18145
老	ql	377144
目	qm	227134
牛	qn	40525
齐	qq	44501
食	qs	65740
田	qt	58711
非	rf	185852
之	ri	907523
巾	rj	7252
了	rl	3211043
皮	rp	58344
七	rq	101221
竹	ru	18801
瓦	rw	26254
又	ry	451967
各	sg	235380
止	si	72553
力	sl	393757
尚	ss	53262
言	sy	145549
弗	tf	22111
革	tg	83970
衣	ti	80859
斤	tj	11708
龙	tl	87039
三	ts	419978
雨	tv	44435
用	ty	607554
白	ub	208207
工	ug	345418
手	us	384501
匕	vb	3240
已	vi	474152
乃	vn	38647
气	vq	233189
山	vs	216616
文	vw	310548
西	vx	280027
月	vy	272598
乍	wa	4004
五	wu	200272
象	wx	155082
页	wy	26435
厂	xc	36641
广	xg	99552
鹿	xl	8945
鸟	xn	24816
束	xs	34161
音	xy	83487
爪	ya	7776
卜	yb	9425
车	yc	137446
瓜	yg	10352
至	yi	200722
曲	yq	32328
四	ys	249044
小	yx	594760
豆	zd	11861
甘	zg	22506
金	zj	221252
可	zk	952249
麻	zm	37012
身	zs	382810
羽	zv	13485
习	zx	63522
乱	aae	62822
魅	aaw	4620
交	abi	168754
妆	abn	3747
问	adk	369839
闲	aem	18526
壮	ags	20651
丑	agt	11717
痒	agy	4135
来	ahb	1313926
麦	ahi	27522
敌	ahp	106835
闷	ahx	12080
痕	aig	11331
素	ais	65545
魁	ajd	4930
闪	ajr	48584
寿	akc	14831
毒	akm	50410
疤	amb	2928
状	amq	73992
闯	anm	11383
辞	anx	17457
责	aob	82432
间	aor	315107
疾	aos	27708
刮	apd	6377
闻	aqe	60261
耕	aqj	9905
疗	arl	35866
疲	arp	12806
疫	ars	9696
阁	asg	18835
邦	ate	18165
表	ati	258410
适	auc	66379
缸	aug	3066
北	avb	166550
耗	avm	12512
青	avy	115953
顶	awy	41492
甜	azg	9522
卸	azj	5102
魂	bag	25863
妹	baw	31240
妇	bbj	42346
姑	bcg	57064
灵	bch	79117
妓	bci	4013
如	bdk	613530
奸	beg	9899
杀	bem	120603
