的	u
一	f
是	o
不	c
了	r
在	n
我	t
人	j
大	m
中	d
来	a
和	x
说	s
为	i
到	y
就	g
也	e
要	v
可	z
道	h
而	l
得	w
能	k
都	q
如	b
行	p
丁	ad
丰	af
鬼	ag
乙	ai
六	al
皿	amm
门	am
片	ap
舌	as
未	aw
弓	bg
卵	bl
面	bm
女	bn
云	by
不	cb
虫	cc
飞	cf
古	cg
火	ch
支	ci
及	cj
尸	cs
业	cy
口	dk
里	dl
民	dm
无	du
由	dy
干	eg
见	ej
木	em
欠	eq
穴	ex
也	ey
辰	fc
一	fi
且	fq
示	fs
亡	fw
歹	gd
高	gg
句	gj
士	gs
土	gt
韦	gw
羊	gy
八	hb
夫	hf
谷	hg
子	hi
心	hx
册	ic
艮	ig
立	il
舟	io
予	iv
幺	iy
斗	jd
仑	jl
人	jr
入	ju
寸	kc
亥	kh
九	kj
母	km
水	ks
齿	lc
而	le
方	lf
廿	ln
千	lq
生	ls
夕	lx
牙	ly
巴	mb
大	md
二	me
光	mg
户	mh
两	ml
犬	mq
石	ms
黄	nh
马	nm
十	ns
王	nw
辛	nx
贝	ob
川	oc
自	oi
几	oj
日	or
矢	os
尤	oy
长	pc
刀	pd
儿	pe
戈	pg
黑	ph
弋	pi
米	pm
鼠	ps
足	pu
行	px
走	pz
臣	qc
耳	qe
井	qj
老	ql
目	qm
牛	qn
齐	qq
食	qs
田	qt
非	rf
之	ri
巾	rj
了	rl
皮	rp
七	rq
竹	ru
瓦	rw
又	ry
各	sg
止	si
力	sl
尚	ss
言	sy
弗	tf
革	tg
衣	ti
斤	tj
龙	tl
三	ts
雨	tv
用	ty
白	ub
工	ug
手	us
匕	vb
已	vi
乃	vn
气	vq
山	vs
巳	vss
文	vw
西	vx
月	vy
乍	wa
五	wu
象	wx
页	wy
厂	xc
广	xg
鹿	xl
鸟	xn
束	xs
音	xy
爪	ya
卜	yb
车	yc
瓜	yg
至	yi
曲	yq
四	ys
小	yx
酉	yy
豆	zd
甘	zg
金	zj
可	zk
麻	zm
身	zs
羽	zv
习	zx
乱	aae
魅	aaw
交	abi
疟	abj
妆	abn
舐	abs
耘	aby
闽	acc
问	adk
闲	aem
刁	afi
刁	afie
闩	afi
闩	afim
疽	afq
壮	ags
丑	agt
痒	agy
来	ahb
麦	ahi
敌	ahp
闷	ahx
痕	aig
素	ais
魁	ajd
闪	ajr
寿	akc
阂	akh
毒	akm
疤	ambb
耙	ambl
状	amq
闯	anm
闰	anw
辞	anx
责	aob
间	aor
疾	aos
疣	aoy
刮	apd
闻	aqe
耕	aqj
疗	arl
疲	arp
疫	ars
阁	asg
闸	asj
邦	ate
表	ati
适	auc
缸	aug
北	avb
耗	avm
闵	avw
青	avy
顶	awy
痘	azd
甜	azg
卸	azj
魂	bag
妹	baw
妇	bbj
姑	bcg
灵	bch
妓	bci
如	bdk
妩	bdu
奸	beg
杀	bem
她	beyn
弛	beyg
娠	bfc
姐	bfq
引	bgs
好	bhi
姗	bic
氐	bid
卿	big
寻	bkc
姆	bkm
弘	bks
弘	bksg
录	bks
录	bksj
隶	bks
隶	bksv
弃	blc
妨	blf
姓	bls
妒	bmh
凶	bmk
卯	bmm
妈	bnm
贸	bob
昏	bor
张	bpc
充	bpe
姬	bqc
姥	bql
留	bqt
奴	bry
动	bsl
氏	bss
姊	btf
尹	btp
运	buc
建	buy
妃	bvj
奶	bvn
聿	bvv
育	bvy
弧	byg
乐	byx
灯	cad
虬	cae
蚌	caf
蛊	cam
层	cby
烛	ccc
居	ccg
炎	cch
否	cdk
蝇	cdm
届	cdy
炊	ceq
丕	cfi
蛆	cfq
灶	cgt
故	chp
尺	cid
蚪	cjd
尿	cks
炉	cmh
蚂	cnm
辜	cnx
贵	cob
克	cpe
屎	cpm
眉	cqm
烙	csg
邺	cte
甭	cty
还	cuc
虹	cug
尼	cvb
尾	cvm
灿	cvs
蚊	cvw
胡	cvy
炸	cwa
烦	cwy
屋	cyi
屋	cyis
蛭	cyi
蛭	cyic
蛐	cyq
翅	czv
叮	dad
味	daw
史	dbi
虽	dcc
咕	dcg
吱	dci
吸	dcj
吕	ddk
哩	ddl
呆	dem
吹	deq
咀	dfq
中	dgs
吐	dgt
只	dhb
只	dhbv
叭	dhb
叭	dhbb
叫	dij
野	div
吆	diy
咳	dkh
啮	dlc
呀	dly
吧	dmb
吧	dmbb
邑	dmb
邑	dmby
咣	dmg
吠	dmq
哺	dnf
吗	dnm
叶	dns
呈	dnw
呗	dob
呗	dobb
员	dob
员	doby
咱	doi
叽	doj
叨	dpd
兄	dpe
嘿	dph
咪	dpm
啡	drf
吊	drj
叹	dry
咯	dsg
呷	dsj
另	dsl
邮	dte
听	dtj
咙	dtl
迪	duc
唯	dui
