的	〔白勹丶 · unid〕
一	〔一 · fi〕
是	〔日 · ots〕
不	〔不 · cb〕
了	〔了 · rl〕
在	〔𠂇丨土 · nggt〕
我	〔丿扌戈 · tupg〕
人	〔人 · jr〕
他	〔亻也 · jey〕
这	〔文辶 · vuc〕
有	〔𠂇⺝ · nvy〕
个	〔人丨 · jgs〕
大	〔大 · md〕
上	〔⺊一 · yfi〕
中	〔口丨 · dgs〕
来	〔未丷 · ahb〕
地	〔土也 · gey〕
和	〔禾口 · xdk〕
说	〔讠丷口儿 · shdp〕
为	〔丶力丶 · isid〕
们	〔亻门 · jam〕
到	〔至刂 · ypd〕
你	〔亻小 · jxyx〕
就	〔小尤 · gyoy〕
也	〔也 · ey〕
以	〔人 · vjr〕
国	〔囗王丶 · rnid〕
那	〔㇆阝 · aute〕
要	〔覀女 · vbn〕
时	〔日寸 · okc〕
出	〔屮凵 · smk〕
着	〔⺶目 · gqm〕
可	〔可 · zk〕
道	〔䒑自辶 · houc〕
之	〔之 · ri〕
对	〔又寸 · rkc〕
会	〔人云 · jby〕
自	〔自 · oi〕
而	〔而 · le〕
得	〔彳日一寸 · wofk〕
下	〔一卜 · fyb〕
能	〔厶⺝匕 · kvvv〕
过	〔寸辶 · kuc〕
生	〔生 · ls〕
子	〔子 · hi〕
于	〔一 · fns〕
年	〔𠂉 · evk〕
后	〔⺁一口 · xfdk〕
发	〔又丶 · srid〕
都	〔耂日阝 · qote〕
里	〔里 · dl〕
没	〔氵殳 · krs〕
还	〔不辶 · cuc〕
所	〔斤 · mtj〕
去	〔土厶 · gks〕
看	〔龵目 · uqm〕
事	〔一口 · fdbv〕
如	〔女口 · bdk〕
用	〔用 · ty〕
小	〔小 · yx〕
作	〔亻乍 · jwa〕
多	〔夕夕 · llx〕
行	〔行 · px〕
只	〔口八 · dhb〕
好	〔女子 · bhi〕
成	〔戊㇆ · nae〕
家	〔宀豕 · wjs〕
天	〔一大 · fmd〕
她	〔女也 · bey〕
方	〔方 · lf〕
然	〔犬灬 · vmch〕
当	〔⺌彐 · ybj〕
心	〔心 · hx〕
起	〔走己 · pvj〕
种	〔禾口丨 · xdgs〕
想	〔木目心 · eqhx〕
经	〔纟ス工 · irug〕
现	〔王见 · nej〕
但	〔亻日一 · jofi〕
法	〔氵土厶 · kgks〕
无	〔无 · du〕
同	〔冂一口 · mfdk〕
么	〔丿厶 · tks〕
进	〔井辶 · quc〕
学	〔⺍冖子 · kwhi〕
面	〔面 · bm〕
其	〔 · zhb〕
前	〔䒑⺝刂 · hvpd〕
已	〔已 · vi〕
主	〔丶王 · inw〕
从	〔人人 · jjr〕
动	〔云力 · bsl〕
分	〔八刀 · hpd〕
把	〔扌巴 · umb〕
开	〔一廾 · flc〕
军	〔冖车 · wyc〕
又	〔又 · ry〕
两	〔两 · ml〕
本	〔木一 · efi〕
因	〔囗大 · rmd〕
定	〔宀疋 · wts〕
部	〔立口阝 · idte〕
与	〔一ㄅ一 · fafi〕
将	〔丬夕寸 · alkc〕
日	〔日 · or〕
长	〔长 · pc〕
理	〔王里 · ndl〕
三	〔三 · ts〕
些	〔匕二 · svme〕
实	〔宀⺀大 · wwmd〕
样	〔木羊 · egy〕
十	〔十 · ns〕
意	〔音心 · xhx〕
知	〔矢口 · odk〕
此	〔匕 · svb〕
第	〔⺮𢎨 · rtf〕
力	〔力 · sl〕
很	〔彳艮 · wig〕
正	〔一止 · fsi〕
高	〔高 · gg〕
手	〔手 · us〕
什	〔亻十 · jns〕
身	〔身 · zs〕
被	〔衤皮 · trp〕
它	〔宀匕 · wvb〕
明	〔日月 · ovy〕
老	〔老 · ql〕
者	〔耂日 · qor〕
公	〔八厶 · hks〕
见	〔见 · ej〕
机	〔木几 · eoj〕
向	〔丿冂口 · tmdk〕
问	〔门口 · adk〕
最	〔曰耳又 · oqry〕
使	〔亻一口 · jfdb〕
全	〔人王 · jnw〕
点	〔⺊口灬 · ydch〕
情	〔忄龶⺝ · havy〕
外	〔夕卜 · lyb〕
民	〔民 · dm〕
并	〔䒑廾 · hlc〕
战	〔⺊口戈 · ydpg〕
关	〔䒑大 · hmd〕
工	〔工 · ug〕
回	〔囗口 · rdk〕
等	〔⺮土寸 · rgkc〕
相	〔木目 · eqm〕
二	〔二 · me〕
重	〔千里 · ldl〕
由	〔由 · dy〕
头	〔⺀大 · wmd〕
声	〔士 · gcs〕
性	〔忄生 · hls〕
应	〔广⺍一 · xkfi〕
间	〔门日 · aor〕
话	〔讠舌 · sas〕
文	〔文 · vw〕
给	〔纟亼口 · ijdk〕
美	〔⺷大 · gmd〕
业	〔业 · cy〕
物	〔牜勹 · qnes〕
真	〔十 · nqhb〕
体	〔亻木一 · jefi〕
或	〔戈口㇀ · pdfi〕
政	〔一止攵 · fshp〕
几	〔几 · oj〕
内	〔冂人 · mjr〕
利	〔禾刂 · xpd〕
打	〔扌丁 · uad〕
走	〔走 · pz〕
新	〔立木斤 · ietj〕
位	〔亻立 · jil〕
西	〔西 · vx〕
再	〔一冂土 · fmgt〕
产	〔厂 · ixc〕
加	〔力口 · sdk〕
月	〔月 · vy〕
却	〔土厶卩 · gkzj〕
先	〔⺧儿 · qpe〕
制	〔牛巾刂 · qrpd〕
特	〔牜土寸 · qgkc〕
果	〔田木 · qem〕
东	〔小 · ryx〕
神	〔礻日丨 · fogs〕
儿	〔儿 · pe〕
才	〔丿 · ntp〕
门	〔门 · am〕
太	〔大丶 · mid〕
合	〔亼口 · jdk〕
信	〔亻言 · jsy〕
表	〔龶 · ati〕
原	〔厂白小 · xuyx〕
女	〔女 · bn〕
更	〔一日 · fobi〕
己	〔己 · vj vjj〕
名	〔夕口 · ldk〕
立	〔立 · il〕
比	〔匕 · vvb〕
代	〔亻弋 · jpi〕
四	〔四 · ys〕
斯	〔斤 · zhtj〕
任	〔亻㇒士 · jtgs〕
次	〔冫欠 · weq〕
世	〔廿㇗ · lae〕
便	〔亻一日 · jfob〕
听	〔口斤 · dtj〕
提	〔扌日 · uots〕
做	〔亻古攵 · jchp〕
海	〔氵𠂉母 · kekm〕
水	〔水 · ks〕
教	〔耂子攵 · qhhp〕
眼	〔目艮 · qig〕
化	〔亻 · jvb〕
通	〔龴辶 · ktuc〕
感	〔戊一口心 · nfdh〕
王	〔王 · nw〕
各	〔各 · sg〕
口	〔口 · dk〕
气	〔气 · vq〕
别	〔口力刂 · dspd〕
少	〔𡭔丿 · ytp〕
处	〔夂卜 · hyb〕
平	〔干丷 · ehb〕
常	〔巾 · srj〕
解	〔⺈用刀牛 · xtpq〕
何	〔亻可 · jzk〕
接	〔扌立女 · uibn〕
目	〔目 · qm〕
反	〔⺁又 · xry〕
变	〔亠又 · zcry〕
笑	〔⺮丿大 · rtmd〕
总	〔丷口心 · hdhx〕
入	〔入 · ju〕
认	〔讠人 · sjr〕
条	〔夂木 · hem〕
安	〔宀女 · wbn〕
金	〔金 · zj〕
及	〔及 · cj〕
度	〔广廿又 · xlry〕
让	〔讠⺊一 · syfi〕
山	〔山 · vs〕
马	〔马 · nm〕
受	〔爫冖又 · ywry〕
活	〔氵舌 · kas〕
结	〔纟士口 · igdk〕
数	〔米女攵 · pbhp〕
直	〔十一 · nqfi〕
必	〔心丿 · htp〕
白	〔白 · ub〕
指	〔扌匕日 · uvor〕
张	〔弓长 · bpc〕
报	〔扌卩又 · uzry〕
论	〔讠仑 · sjl〕
员	〔口贝 · dob〕
义	〔丶乂 · ibi〕
放	〔方攵 · lhp〕
电	〔日乚 · oae〕
至	〔至 · yi〕
五	〔五 · wu〕
系	〔丿糸 · tis〕
难	〔又隹 · rui〕
命	〔亼口卩 · jdzj〕
建	〔聿廴 · buy〕
尔	〔小 · xyx〕
件	〔亻牛 · jqn〕
死	〔歹匕 · gvb〕
保	〔亻口木 · jdem〕
完	〔宀二儿 · wmpe〕
许	〔讠𠂉十 · sens〕
