口	dk
人	jr
亼	ji
一	fi
八	hb
日	or
木	em
手	us
水	ks
十	ns
丶	id
宀	wg
土	gt
艹	lc
又	ry
心	hx
刀	pd
丿	tp
大	md
言	sy
辶	uc
匕	vb
女	bn
火	ch
厶	ks
糸	is
小	yx
月	vy
冂	mk
阝	te
王	nw
寸	kc
儿	pe
目	qm
田	qt
力	sl
冫	wb
勹	nk
贝	ob
丨	gs
攵	hp
㇆	ae
禾	xh
厂	xc
尸	cs
立	il
⺈	xd
金	zj
止	si
夕	lx
衣	ti
子	hi
竹	ru
卩	zj
工	ug
犬	mq
彐	bj
囗	rk
彡	es
巾	rj
亠	zt
广	xg
白	ub
示	fs
车	yc
虫	cc
斤	tj
夂	hi
米	pm
廿	ln
𠂉	et
牛	qn
匚	nk
山	vs
隹	ui
几	oj
二	me
高	gg
戈	pg
艮	ig
门	am
方	lf
云	by
士	gs
石	ms
彳	wc
丰	af
页	wy
足	pu
老	ql
古	cg
羊	gy
也	ey
疋	ts
爪	ya
可	zk
耳	qe
夫	hf
乂	bi
甘	zg
聿	bv
马	nm
四	ys
欠	eq
屮	sc
里	dl
矢	os
皿	am
不	cb
戊	nu
户	mh
疒	ab
见	ej
各	sg
自	oi
殳	rs
弓	bg
川	oc
西	vx
穴	ex
走	pz
文	vw
己	vj
至	yi
未	aw
幺	iy
业	cy
巴	mb
片	ap
干	eg
巳	vs
音	xy
九	kj
生	ls
七	rq
用	ty
且	fq
歹	gd
尚	ss
酉	yy
舌	as
豕	js
丁	ad
千	lq
皮	rp
母	km
鸟	xn
而	le
羽	zv
鱼	wv
六	al
了	rl
食	qs
弋	pi
弗	tf
非	rf
尤	oy
舟	io
臼	pj
亡	fw
由	dy
长	pc
井	qj
予	iv
乍	wa
辛	nx
束	xs
㠯	ki
廴	uy
册	ic
乃	vn
㐄	vk
甫	nf
无	du
氏	bs
身	zs
缶	af
亥	kh
及	cj
毛	vm
句	gj
支	ci
乙	ai
三	ts
五	wu
之	ri
两	ml
斗	jd
虎	zh
行	px
豆	zd
谷	hg
革	tg
鬼	ag
	bk
牙	ly
龙	tl
卯	bm
气	vq
韦	gw
黑	ph
兔	wt
壴	hu
麻	zm
仑	jl
辰	fc
光	mg
象	wx
齐	qq
丩	ij
民	dm
曲	yq
面	bm
臣	qc
骨	fg
已	vi
黄	nh
耒	al
瓜	yg
甲	sj
瓦	rw
卅	ls
入	ju
㡀	fb
齿	lc
鹿	xl
飞	cf
鬲	ng
豸	mi
乡	ix
毋	ku
乌	xu
习	zx
鼠	ps
黾	dm
卌	lx
卵	bl
龟	wg
雨	tv
卜	yb
禸	vr
